"Gene"	"baseMean"	"log2FoldChange"	"pval"	"pvalsGLM"	"Copies"	"REP"
"104"	"REP_RLTR42-int"	56.6476846644917	0.0441726925571456	0.935494914559423	0.915161733023166	34	TRUE
"105"	"REP_RLTR44-int"	39.5464558915184	0.658378496877866	0.317427123269868	0.417090359505612	57	TRUE
"106"	"REP_RLTR45-int"	908.89494916025	0.158631494487079	0.32625285249095	0.325980342266884	190	TRUE
"107"	"REP_RLTR6-int"	1435.00925665829	0.476929115593709	0.00134452084211833	0.00471689977592105	280	TRUE
"108"	"REP_RMER12"	39.8805204642774	0.241783644781644	0.701273224552398	0.727440496795322	28	TRUE
"109"	"REP_RMER15-int"	57.7332653641195	-0.283080786089494	0.60418220533616	0.604644464128021	41	TRUE
"110"	"REP_RMER16-int"	721.720572510834	0.211103840541238	0.286553605312088	0.360034867357399	301	TRUE
"111"	"REP_RMER17B"	40.0018256582923	-0.0335792708162335	0.932990294668193	0.724415141154027	50	TRUE
"112"	"REP_RMER17C-int"	223.235710947414	-0.110177298882023	0.692691080296192	0.708674369340184	77	TRUE
"113"	"REP_RMER3D-int"	113.605841129322	-0.247034679019381	0.547005469464324	0.585975997733249	133	TRUE
"114"	"REP_RMER6-int"	48.6132358022962	-0.0283822243692626	0.912013023786143	0.940533123054579	30	TRUE
"115"	"REP_RNERVK23-int"	144.209592791304	0.424435691983049	0.238498689432951	0.243085689016315	72	TRUE
"116"	"REP_RodERV21-int"	243.784810720498	-0.366697814927478	0.192159988897844	0.180420642718895	135	TRUE
"117"	"REP_SRV_MM-int"	221.83394369061	0.318687343472838	0.287384529549598	0.288967701813098	29	TRUE
"118"	"REP_Tigger1"	217.846336232175	-0.142076415170401	0.677228619728773	0.705116139951223	22	TRUE
